Zip,IMR
70568,
70765,
70880,
71522,
71854,
72052,
72098,
72729,
73344,
73672,
73949,
73960,
75000,
75001,0
75002,5.1282053
75004,
75005,
75006,2.1045246
75007,2.4242425
75009,9.2165899
75010,7.2939458
75011,
75012,
75013,3.0048077
75014,
75015,
75016,
75019,1.9292605
75020,3.5460992
75021,
75022,4.7393365
75023,1.3856813
75024,3.9467194
75025,3.5158212
75027,
75028,3.1113877
75029,
75030,
75032,6.1538463
75033,1.981506
75034,2.5575447
75035,4.3383946
75037,
75038,4.1446872
75039,5.0125313
75040,3.4236805
75041,2.4084778
75042,8.1933632
75043,6.8452382
75044,5.32198
75045,
75046,
75047,
75048,6.6889634
75049,
75050,6.5812263
75051,8.6726999
75052,6.8327975
75053,
75054,3.1201248
75056,3.30251
75057,4.985045
75058,
75059,
75060,4.3010755
75061,8.0186243
75062,3.3456006
75063,8.6045637
75064,
75065,5.1282053
75067,5
75068,4.447268
75069,6.2380037
75070,4.8718491
75071,2.7173913
75074,5.1317139
75075,2.0761247
75076,
75077,4.7846889
75078,4.1608877
75080,3.216727
75081,2.0736132
75082,3.4682081
75083,
75085,
75086,
75087,1.3614703
75088,4.7619047
75089,4.1293874
75090,6.5231571
75091,
75092,5.9322033
75093,3.9682539
75094,5.122951
75097,
75098,4.2469783
75099,
75101,
75102,
75103,3.7313433
75104,5.5938039
75105,
75106,
75109,
75110,3.0643513
75113,
75114,
75115,6.2555852
75116,9.0009003
75117,
75119,5.6109724
75120,
75121,
75122,
75123,
75124,
75125,
75126,3.9946737
75127,
75129,
75132,
75134,7.4349442
75135,
75136,
75137,8.5106382
75138,
75140,
75141,
75142,10.214504
75143,6.4412236
75144,
75145,
75146,9.9188461
75147,
75148,
75149,6.3253012
75150,6.9044881
75151,
75152,
75153,
75154,6.0207992
75155,
75156,3.4662044
75157,
75158,
75159,6.3025212
75160,8.4033613
75161,
75163,
75164,
75165,4.9041462
75166,
75167,
75168,
75169,4.7095761
75172,
75173,
75175,
75180,7.2072072
75181,3.8639877
75182,
